arm,seed,model,year,auc,baseline,delta
full,0,LogReg,2019,0.7216202603745026,0.7382989505599692,-0.016678690185466638
full,0,LogReg,2020,0.7245012577854905,0.7382989505599692,-0.013797692774478731
full,0,LogReg,2021,0.616079933582883,0.7382989505599692,-0.12221901697708615
full,0,LogReg,2022,0.6527130681818181,0.7382989505599692,-0.08558588237815112
full,0,LogReg,2023,0.7074516584203294,0.7382989505599692,-0.03084729213963977
full,0,RF,2019,0.7276641975829524,0.7424023278334186,-0.01473813025046622
full,0,RF,2020,0.731614135625597,0.7424023278334186,-0.010788192207821679
full,0,RF,2021,0.6491952750629943,0.7424023278334186,-0.09320705277042429
full,0,RF,2022,0.6840269886363637,0.7424023278334186,-0.058375339197054954
full,0,RF,2023,0.7000023648551,0.7424023278334186,-0.042399962978318606
full,0,GBM,2019,0.7308628432347195,0.7466500657863339,-0.015787222551614355
full,0,GBM,2020,0.7190631852240473,0.7466500657863339,-0.02758688056228653
full,0,GBM,2021,0.638623883944827,0.7466500657863339,-0.10802618184150681
full,0,GBM,2022,0.6717223011363636,0.7466500657863339,-0.07492776464997031
full,0,GBM,2023,0.7100254090542418,0.7466500657863339,-0.03662465673209203
full,1,LogReg,2019,0.7225012261958075,0.7284192580091395,-0.005918031813332059
full,1,LogReg,2020,0.7508622911349057,0.7284192580091395,0.02244303312576612
full,1,LogReg,2021,0.6380328135814028,0.7284192580091395,-0.09038644442773669
full,1,LogReg,2022,0.6753165159447883,0.7284192580091395,-0.05310274206435128
full,1,LogReg,2023,0.7154466499636722,0.7284192580091395,-0.012972608045467293
full,1,RF,2019,0.7353736165312519,0.7293646900133863,0.006008926517865554
full,1,RF,2020,0.7481756849786589,0.7293646900133863,0.01881099496527261
full,1,RF,2021,0.6479664536090869,0.7293646900133863,-0.08139823640429944
full,1,RF,2022,0.6787720133269871,0.7293646900133863,-0.05059267668639922
full,1,RF,2023,0.7084293238389997,0.7293646900133863,-0.020935366174386627
full,1,GBM,2019,0.7451032136992729,0.7394624778848377,0.005640735814435249
full,1,GBM,2020,0.7583466604532281,0.7394624778848377,0.018884182568390417
full,1,GBM,2021,0.6448379206999897,0.7394624778848377,-0.09462455718484797
full,1,GBM,2022,0.6891837220371251,0.7394624778848377,-0.050278755847712575
full,1,GBM,2023,0.7232435353464837,0.7394624778848377,-0.016218942538353986
full,2,LogReg,2019,0.7160642125948989,0.7279660656848799,-0.01190185308998093
full,2,LogReg,2020,0.7468154626214062,0.7279660656848799,0.01884939693652632
full,2,LogReg,2021,0.6786785473814916,0.7279660656848799,-0.04928751830338829
full,2,LogReg,2022,0.6762363936694384,0.7279660656848799,-0.05172967201544143
full,2,LogReg,2023,0.7226575447464368,0.7279660656848799,-0.005308520938443029
full,2,RF,2019,0.7275311237204107,0.7330164575557551,-0.00548533383534433
full,2,RF,2020,0.747043422997748,0.7330164575557551,0.014026965441992889
full,2,RF,2021,0.6750933463916263,0.7330164575557551,-0.05792311116412874
full,2,RF,2022,0.6825660139392826,0.7330164575557551,-0.05045044361647244
full,2,RF,2023,0.7095391738481935,0.7330164575557551,-0.023477283707561525
full,2,GBM,2019,0.7265683035925967,0.7409794362008271,-0.014411132608230348
full,2,GBM,2020,0.74291768558047,0.7409794362008271,0.0019382493796429312
full,2,GBM,2021,0.6750802298026392,0.7409794362008271,-0.06589920639818792
full,2,GBM,2022,0.6950781908109914,0.7409794362008271,-0.04590124538983564
full,2,GBM,2023,0.7335295305767319,0.7409794362008271,-0.007449905624095199
full,3,LogReg,2019,0.7222341981676803,0.7365733561538655,-0.014339157986185236
full,3,LogReg,2020,0.7348646084414585,0.7365733561538655,-0.0017087477124070327
full,3,LogReg,2021,0.6606767039015703,0.7365733561538655,-0.07589665225229525
full,3,LogReg,2022,0.6618102899736389,0.7365733561538655,-0.07476306618022666
full,3,LogReg,2023,0.7124186007361325,0.7365733561538655,-0.024154755417733043
full,3,RF,2019,0.7305976852208278,0.7384836792361952,-0.007885994015367381
full,3,RF,2020,0.7447561413405815,0.7384836792361952,0.006272462104386367
full,3,RF,2021,0.6743796109993293,0.7384836792361952,-0.06410406823686587
full,3,RF,2022,0.6774611398963731,0.7384836792361952,-0.061022539339822046
full,3,RF,2023,0.7053608094906505,0.7384836792361952,-0.03312286974554468
full,3,GBM,2019,0.7379064336489849,0.750529897164524,-0.012623463515539113
full,3,GBM,2020,0.7290021283142726,0.750529897164524,-0.021527768850251428
full,3,GBM,2021,0.678308355882421,0.750529897164524,-0.07222154128210301
full,3,GBM,2022,0.6849786383056086,0.750529897164524,-0.06555125885891544
full,3,GBM,2023,0.7208269884631768,0.750529897164524,-0.029702908701347175
full,4,LogReg,2019,0.7029795480499705,0.7284625653091863,-0.025483017259215757
full,4,LogReg,2020,0.7426635069764843,0.7284625653091863,0.014200941667298017
full,4,LogReg,2021,0.6401298926435444,0.7284625653091863,-0.08833267266564193
full,4,LogReg,2022,0.6532762015389917,0.7284625653091863,-0.07518636377019461
full,4,LogReg,2023,0.7020131211404476,0.7284625653091863,-0.026449444168738734
full,4,RF,2019,0.7357537780072991,0.7299291749355326,0.0058246030717665764
full,4,RF,2020,0.7432122584794341,0.7299291749355326,0.013283083543901508
full,4,RF,2021,0.6728661820973514,0.7299291749355326,-0.05706299283818117
full,4,RF,2022,0.6802892899575126,0.7299291749355326,-0.049639884978019966
full,4,RF,2023,0.6964398471697508,0.7299291749355326,-0.03348932776578173
full,4,GBM,2019,0.72758550927565,0.7396484296086797,-0.012062920333029692
full,4,GBM,2020,0.749019587282946,0.7396484296086797,0.009371157674266328
full,4,GBM,2021,0.6616135662898253,0.7396484296086797,-0.07803486331885445
full,4,GBM,2022,0.6740342742567124,0.7396484296086797,-0.06561415535196735
full,4,GBM,2023,0.7111890899750635,0.7396484296086797,-0.028459339633616243
ablated,0,LogReg,2019,0.7093346131431902,0.7332181040487291,-0.023883490905538873
ablated,0,LogReg,2020,0.7028162287958889,0.7332181040487291,-0.030401875252840216
ablated,0,LogReg,2021,0.575172232984255,0.7332181040487291,-0.1580458710644741
ablated,0,LogReg,2022,0.6276680871212121,0.7332181040487291,-0.10555001692751698
ablated,0,LogReg,2023,0.7020729268760527,0.7332181040487291,-0.031145177172676397
ablated,0,RF,2019,0.7184743541399125,0.7229069343870422,-0.00443258024712978
ablated,0,RF,2020,0.7139412405666088,0.7229069343870422,-0.00896569382043344
ablated,0,RF,2021,0.5904336047307631,0.7229069343870422,-0.13247332965627912
ablated,0,RF,2022,0.6306510416666666,0.7229069343870422,-0.0922558927203756
ablated,0,RF,2023,0.6908319823003735,0.7229069343870422,-0.03207495208666877
ablated,0,GBM,2019,0.7152598866629925,0.7409462048715716,-0.02568631820857914
ablated,0,GBM,2020,0.7077750649071122,0.7409462048715716,-0.03317113996445942
ablated,0,GBM,2021,0.5799729088075505,0.7409462048715716,-0.1609732960640211
ablated,0,GBM,2022,0.6263245738636363,0.7409462048715716,-0.11462163100793532
ablated,0,GBM,2023,0.7072033486348217,0.7409462048715716,-0.033742856236749885
ablated,1,LogReg,2019,0.7110896082570959,0.7243722079227224,-0.013282599665626504
ablated,1,LogReg,2020,0.7237314523559877,0.7243722079227224,-0.0006407555667347076
ablated,1,LogReg,2021,0.5897237558679564,0.7243722079227224,-0.13464845205476594
ablated,1,LogReg,2022,0.650459305092813,0.7243722079227224,-0.07391290282990937
ablated,1,LogReg,2023,0.7065004641157109,0.7243722079227224,-0.01787174380701151
ablated,1,RF,2019,0.7208698526432518,0.7144917423141686,0.0063781103290831975
ablated,1,RF,2020,0.7160529130789354,0.7144917423141686,0.001561170764766806
ablated,1,RF,2021,0.5971802492178668,0.7144917423141686,-0.11731149309630173
ablated,1,RF,2022,0.6312494050452165,0.7144917423141686,-0.08324233726895203
