seed,model,n,tau,year,alarm_rate,n_frame
0,LogReg,25,0.5277777777777778,2019,0.06603301650825413,1344
0,LogReg,25,0.5277777777777778,2020,0.1016016016016016,1331
0,LogReg,25,0.5277777777777778,2021,0.264,1322
0,LogReg,25,0.5277777777777778,2022,0.14,1318
0,LogReg,25,0.5277777777777778,2023,0.093,1314
0,LogReg,50,0.6087507161955691,2019,0.0965,1344
0,LogReg,50,0.6087507161955691,2020,0.115,1331
0,LogReg,50,0.6087507161955691,2021,0.469,1322
0,LogReg,50,0.6087507161955691,2022,0.2835,1318
0,LogReg,50,0.6087507161955691,2023,0.118,1314
0,LogReg,100,0.6510557253204312,2019,0.1165,1344
0,LogReg,100,0.6510557253204312,2020,0.1275,1331
0,LogReg,100,0.6510557253204312,2021,0.7115,1322
0,LogReg,100,0.6510557253204312,2022,0.4795,1318
0,LogReg,100,0.6510557253204312,2023,0.15,1314
0,LogReg,200,0.6773283077295189,2019,0.141,1344
0,LogReg,200,0.6773283077295189,2020,0.1475,1331
0,LogReg,200,0.6773283077295189,2021,0.91,1322
0,LogReg,200,0.6773283077295189,2022,0.736,1318
0,LogReg,200,0.6773283077295189,2023,0.219,1314
0,LogReg,400,0.6932591365329954,2019,0.16,1344
0,LogReg,400,0.6932591365329954,2020,0.17,1331
0,LogReg,400,0.6932591365329954,2021,0.99,1322
0,LogReg,400,0.6932591365329954,2022,0.9225,1318
0,LogReg,400,0.6932591365329954,2023,0.3105,1314
0,LogReg,800,0.7076598508982523,2019,0.2455,1344
0,LogReg,800,0.7076598508982523,2020,0.231,1331
0,LogReg,800,0.7076598508982523,2021,1.0,1322
0,LogReg,800,0.7076598508982523,2022,0.999,1318
0,LogReg,800,0.7076598508982523,2023,0.5035,1314
0,RF,25,0.5316587301587301,2019,0.07103551775887944,1344
0,RF,25,0.5316587301587301,2020,0.08708708708708708,1331
0,RF,25,0.5316587301587301,2021,0.197,1322
0,RF,25,0.5316587301587301,2022,0.0925,1318
0,RF,25,0.5316587301587301,2023,0.0955,1314
0,RF,50,0.6057142857142858,2019,0.08,1344
0,RF,50,0.6057142857142858,2020,0.0985,1331
0,RF,50,0.6057142857142858,2021,0.3255,1322
