panel,seed,model,entity,period,auc,n
BALANCED (survivors only),0,LogReg,E_seen,P_seen,0.7194815332745872,4310
BALANCED (survivors only),0,LogReg,E_unseen,P_seen,0.7306848131984003,9240
BALANCED (survivors only),0,LogReg,E_seen,P_unseen,0.687199228521419,13470
BALANCED (survivors only),0,LogReg,E_unseen,P_unseen,0.673543328795786,5775
BALANCED (survivors only),0,RF,E_seen,P_seen,0.7678183360365076,4310
BALANCED (survivors only),0,RF,E_unseen,P_seen,0.7213917717007955,9240
BALANCED (survivors only),0,RF,E_seen,P_unseen,0.7066952868347957,13470
BALANCED (survivors only),0,RF,E_unseen,P_unseen,0.6773061954641892,5775
BALANCED (survivors only),0,GBM,E_seen,P_seen,0.7387714497954527,4310
BALANCED (survivors only),0,GBM,E_unseen,P_seen,0.736451675933185,9240
BALANCED (survivors only),0,GBM,E_seen,P_unseen,0.7041795318216416,13470
BALANCED (survivors only),0,GBM,E_unseen,P_unseen,0.6914470551357357,5775
BALANCED (survivors only),1,LogReg,E_seen,P_seen,0.715410702578268,4310
BALANCED (survivors only),1,LogReg,E_unseen,P_seen,0.7220510850080553,9240
BALANCED (survivors only),1,LogReg,E_seen,P_unseen,0.6775348665676519,13470
BALANCED (survivors only),1,LogReg,E_unseen,P_unseen,0.6858226316143348,5775
BALANCED (survivors only),1,RF,E_seen,P_seen,0.7653041480454535,4310
BALANCED (survivors only),1,RF,E_unseen,P_seen,0.7210338020285756,9240
BALANCED (survivors only),1,RF,E_seen,P_unseen,0.6964802721188607,13470
BALANCED (survivors only),1,RF,E_unseen,P_unseen,0.6795333826396825,5775
BALANCED (survivors only),1,GBM,E_seen,P_seen,0.7379607869658084,4310
BALANCED (survivors only),1,GBM,E_unseen,P_seen,0.7318742918516614,9240
BALANCED (survivors only),1,GBM,E_seen,P_unseen,0.6912907105705085,13470
BALANCED (survivors only),1,GBM,E_unseen,P_unseen,0.6860168687479923,5775
BALANCED (survivors only),2,LogReg,E_seen,P_seen,0.7391345707267123,4310
BALANCED (survivors only),2,LogReg,E_unseen,P_seen,0.7250745682005117,9240
BALANCED (survivors only),2,LogReg,E_seen,P_unseen,0.6775976420060091,13470
BALANCED (survivors only),2,LogReg,E_unseen,P_unseen,0.6841594091749666,5775
BALANCED (survivors only),2,RF,E_seen,P_seen,0.7841558863051905,4310
BALANCED (survivors only),2,RF,E_unseen,P_seen,0.7220026927166522,9240
BALANCED (survivors only),2,RF,E_seen,P_unseen,0.702035417510493,13470
BALANCED (survivors only),2,RF,E_unseen,P_unseen,0.6907425202542,5775
BALANCED (survivors only),2,GBM,E_seen,P_seen,0.7616341703684815,4310
BALANCED (survivors only),2,GBM,E_unseen,P_seen,0.7316063274149356,9240
BALANCED (survivors only),2,GBM,E_seen,P_unseen,0.6981473678320385,13470
BALANCED (survivors only),2,GBM,E_unseen,P_unseen,0.6938638026483537,5775
BALANCED (survivors only),3,LogReg,E_seen,P_seen,0.7119737800357355,4310
BALANCED (survivors only),3,LogReg,E_unseen,P_seen,0.724805153489956,9240
BALANCED (survivors only),3,LogReg,E_seen,P_unseen,0.6799145773542288,13470
BALANCED (survivors only),3,LogReg,E_unseen,P_unseen,0.6949607242826644,5775
BALANCED (survivors only),3,RF,E_seen,P_seen,0.7560347580191887,4310
BALANCED (survivors only),3,RF,E_unseen,P_seen,0.7205808443764754,9240
BALANCED (survivors only),3,RF,E_seen,P_unseen,0.7009687585844891,13470
BALANCED (survivors only),3,RF,E_unseen,P_unseen,0.7064024731886401,5775
BALANCED (survivors only),3,GBM,E_seen,P_seen,0.7321382097640883,4310
BALANCED (survivors only),3,GBM,E_unseen,P_seen,0.73211453114492,9240
BALANCED (survivors only),3,GBM,E_seen,P_unseen,0.6961518506288589,13470
BALANCED (survivors only),3,GBM,E_unseen,P_unseen,0.7139874128423961,5775
BALANCED (survivors only),4,LogReg,E_seen,P_seen,0.7393567858814495,4310
BALANCED (survivors only),4,LogReg,E_unseen,P_seen,0.7098067697283568,9240
BALANCED (survivors only),4,LogReg,E_seen,P_unseen,0.6876480337531224,13470
BALANCED (survivors only),4,LogReg,E_unseen,P_unseen,0.67436696752187,5775
BALANCED (survivors only),4,RF,E_seen,P_seen,0.774952708809211,4310
BALANCED (survivors only),4,RF,E_unseen,P_seen,0.7059588700995454,9240
BALANCED (survivors only),4,RF,E_seen,P_unseen,0.706974869425754,13470
BALANCED (survivors only),4,RF,E_unseen,P_unseen,0.6752109719407902,5775
BALANCED (survivors only),4,GBM,E_seen,P_seen,0.7525341499556746,4310
BALANCED (survivors only),4,GBM,E_unseen,P_seen,0.7193531526728321,9240
BALANCED (survivors only),4,GBM,E_seen,P_unseen,0.7030928362597022,13470
BALANCED (survivors only),4,GBM,E_unseen,P_unseen,0.681746683768401,5775
