spec,panel,outcome,seed,model,entity,period,auc,n
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,LogReg,E_seen,P_seen,0.7336416755021407,5155
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,LogReg,E_unseen,P_seen,0.7383321382250013,11110
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,LogReg,E_seen,P_unseen,0.7014979670912889,15447
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,LogReg,E_unseen,P_unseen,0.6796393150501753,6629
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,RF,E_seen,P_seen,0.7825438193655249,5155
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,RF,E_unseen,P_seen,0.7443633072946715,11110
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,RF,E_seen,P_unseen,0.7178799830198614,15447
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,RF,E_unseen,P_unseen,0.6915196259086506,6629
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,GBM,E_seen,P_seen,0.7571619364255022,5155
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,GBM,E_unseen,P_seen,0.747813823919766,11110
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,GBM,E_seen,P_unseen,0.716921794039465,15447
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,0,GBM,E_unseen,P_unseen,0.6939024492328667,6629
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,LogReg,E_seen,P_seen,0.7289371209256069,5182
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,LogReg,E_unseen,P_seen,0.7284126906311834,10978
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,LogReg,E_seen,P_unseen,0.6939453667773322,15472
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,LogReg,E_unseen,P_unseen,0.6965706753890811,6604
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,RF,E_seen,P_seen,0.7690708562703983,5182
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,RF,E_unseen,P_seen,0.7285945683689349,10978
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,RF,E_seen,P_unseen,0.709701144104921,15472
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,RF,E_unseen,P_unseen,0.6971630157552067,6604
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,GBM,E_seen,P_seen,0.746117682901206,5182
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,GBM,E_unseen,P_seen,0.7379937031207523,10978
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,GBM,E_seen,P_unseen,0.7060580124230802,15472
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,1,GBM,E_unseen,P_unseen,0.7059228583285662,6604
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,LogReg,E_seen,P_seen,0.7359259976363544,5160
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,LogReg,E_unseen,P_seen,0.7273284253003933,11086
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,LogReg,E_seen,P_unseen,0.6910066404659404,15485
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,LogReg,E_unseen,P_unseen,0.7043383215812293,6591
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,RF,E_seen,P_seen,0.7782260554069751,5160
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,RF,E_unseen,P_seen,0.7320165291762799,11086
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,RF,E_seen,P_unseen,0.707535368777597,15485
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,RF,E_unseen,P_unseen,0.70395262571681,6591
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,GBM,E_seen,P_seen,0.7537419288601067,5160
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,GBM,E_unseen,P_seen,0.7414458329617174,11086
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,GBM,E_seen,P_unseen,0.7040447809433714,15485
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,2,GBM,E_unseen,P_unseen,0.7121648667526327,6591
deficit 2011-2018 -> 2019-2023,imbalanced,deficit,3,LogReg,E_seen,P_seen,0.7350316675357567,5140
