window,panel,seed,model,entity,period,auc,n
A: 2011-2016 -> 2017-2020,imbalanced,0,LogReg,E_seen,P_seen,0.7298593304069422,3890
A: 2011-2016 -> 2017-2020,imbalanced,0,LogReg,E_unseen,P_seen,0.7396733923177098,8399
A: 2011-2016 -> 2017-2020,imbalanced,0,LogReg,E_seen,P_unseen,0.7385671585778399,12549
A: 2011-2016 -> 2017-2020,imbalanced,0,LogReg,E_unseen,P_unseen,0.7301679339422632,5386
A: 2011-2016 -> 2017-2020,imbalanced,0,RF,E_seen,P_seen,0.7670408958073451,3890
A: 2011-2016 -> 2017-2020,imbalanced,0,RF,E_unseen,P_seen,0.7433627213183258,8399
A: 2011-2016 -> 2017-2020,imbalanced,0,RF,E_seen,P_unseen,0.7595539122828711,12549
A: 2011-2016 -> 2017-2020,imbalanced,0,RF,E_unseen,P_unseen,0.7273501054734615,5386
A: 2011-2016 -> 2017-2020,imbalanced,0,GBM,E_seen,P_seen,0.7537303472677512,3890
A: 2011-2016 -> 2017-2020,imbalanced,0,GBM,E_unseen,P_seen,0.7532777262105343,8399
A: 2011-2016 -> 2017-2020,imbalanced,0,GBM,E_seen,P_unseen,0.752540235642099,12549
A: 2011-2016 -> 2017-2020,imbalanced,0,GBM,E_unseen,P_unseen,0.7296364984670481,5386
A: 2011-2016 -> 2017-2020,imbalanced,1,LogReg,E_seen,P_seen,0.7477145738173807,3913
A: 2011-2016 -> 2017-2020,imbalanced,1,LogReg,E_unseen,P_seen,0.7283931981848293,8285
A: 2011-2016 -> 2017-2020,imbalanced,1,LogReg,E_seen,P_unseen,0.7380418621464098,12590
A: 2011-2016 -> 2017-2020,imbalanced,1,LogReg,E_unseen,P_unseen,0.7346375830658756,5345
A: 2011-2016 -> 2017-2020,imbalanced,1,RF,E_seen,P_seen,0.7819371774587262,3913
A: 2011-2016 -> 2017-2020,imbalanced,1,RF,E_unseen,P_seen,0.7262184300736683,8285
A: 2011-2016 -> 2017-2020,imbalanced,1,RF,E_seen,P_unseen,0.7515317693991234,12590
A: 2011-2016 -> 2017-2020,imbalanced,1,RF,E_unseen,P_unseen,0.7302347401810545,5345
A: 2011-2016 -> 2017-2020,imbalanced,1,GBM,E_seen,P_seen,0.7656760810164891,3913
A: 2011-2016 -> 2017-2020,imbalanced,1,GBM,E_unseen,P_seen,0.7390867159994747,8285
A: 2011-2016 -> 2017-2020,imbalanced,1,GBM,E_seen,P_unseen,0.7480084410667983,12590
A: 2011-2016 -> 2017-2020,imbalanced,1,GBM,E_unseen,P_unseen,0.7415499760995224,5345
A: 2011-2016 -> 2017-2020,imbalanced,2,LogReg,E_seen,P_seen,0.7406201756227693,3894
A: 2011-2016 -> 2017-2020,imbalanced,2,LogReg,E_unseen,P_seen,0.7312704884356962,8378
A: 2011-2016 -> 2017-2020,imbalanced,2,LogReg,E_seen,P_unseen,0.7416960233410942,12577
A: 2011-2016 -> 2017-2020,imbalanced,2,LogReg,E_unseen,P_unseen,0.7283605742647252,5358
A: 2011-2016 -> 2017-2020,imbalanced,2,RF,E_seen,P_seen,0.7796814212846892,3894
A: 2011-2016 -> 2017-2020,imbalanced,2,RF,E_unseen,P_seen,0.7283894333188464,8378
A: 2011-2016 -> 2017-2020,imbalanced,2,RF,E_seen,P_unseen,0.7552553371570496,12577
A: 2011-2016 -> 2017-2020,imbalanced,2,RF,E_unseen,P_unseen,0.731515113615419,5358
A: 2011-2016 -> 2017-2020,imbalanced,2,GBM,E_seen,P_seen,0.7596180328273783,3894
A: 2011-2016 -> 2017-2020,imbalanced,2,GBM,E_unseen,P_seen,0.7428836863941934,8378
A: 2011-2016 -> 2017-2020,imbalanced,2,GBM,E_seen,P_unseen,0.749815132498225,12577
A: 2011-2016 -> 2017-2020,imbalanced,2,GBM,E_unseen,P_unseen,0.7355513902419758,5358
A: 2011-2016 -> 2017-2020,imbalanced,3,LogReg,E_seen,P_seen,0.7333778695344793,3883
A: 2011-2016 -> 2017-2020,imbalanced,3,LogReg,E_unseen,P_seen,0.7371221401166244,8433
A: 2011-2016 -> 2017-2020,imbalanced,3,LogReg,E_seen,P_unseen,0.736514250506124,12484
A: 2011-2016 -> 2017-2020,imbalanced,3,LogReg,E_unseen,P_unseen,0.7353387196976623,5451
A: 2011-2016 -> 2017-2020,imbalanced,3,RF,E_seen,P_seen,0.7668367381351084,3883
A: 2011-2016 -> 2017-2020,imbalanced,3,RF,E_unseen,P_seen,0.740919565930094,8433
A: 2011-2016 -> 2017-2020,imbalanced,3,RF,E_seen,P_unseen,0.7571501938493299,12484
A: 2011-2016 -> 2017-2020,imbalanced,3,RF,E_unseen,P_unseen,0.7365036940931017,5451
A: 2011-2016 -> 2017-2020,imbalanced,3,GBM,E_seen,P_seen,0.7493020652002627,3883
A: 2011-2016 -> 2017-2020,imbalanced,3,GBM,E_unseen,P_seen,0.7510588718626844,8433
A: 2011-2016 -> 2017-2020,imbalanced,3,GBM,E_seen,P_unseen,0.7491120972776848,12484
A: 2011-2016 -> 2017-2020,imbalanced,3,GBM,E_unseen,P_unseen,0.7385090427664491,5451
A: 2011-2016 -> 2017-2020,imbalanced,4,LogReg,E_seen,P_seen,0.7381710688360636,3899
A: 2011-2016 -> 2017-2020,imbalanced,4,LogReg,E_unseen,P_seen,0.7313303611100418,8353
A: 2011-2016 -> 2017-2020,imbalanced,4,LogReg,E_seen,P_unseen,0.7420892877628305,12584
A: 2011-2016 -> 2017-2020,imbalanced,4,LogReg,E_unseen,P_unseen,0.7229489359856185,5351
A: 2011-2016 -> 2017-2020,imbalanced,4,RF,E_seen,P_seen,0.7652990734298475,3899
A: 2011-2016 -> 2017-2020,imbalanced,4,RF,E_unseen,P_seen,0.7355523268808253,8353
A: 2011-2016 -> 2017-2020,imbalanced,4,RF,E_seen,P_unseen,0.7601563478307997,12584
A: 2011-2016 -> 2017-2020,imbalanced,4,RF,E_unseen,P_unseen,0.7269741931980002,5351
A: 2011-2016 -> 2017-2020,imbalanced,4,GBM,E_seen,P_seen,0.7540395593737869,3899
A: 2011-2016 -> 2017-2020,imbalanced,4,GBM,E_unseen,P_seen,0.7450029689800457,8353
A: 2011-2016 -> 2017-2020,imbalanced,4,GBM,E_seen,P_unseen,0.7511064635460766,12584
A: 2011-2016 -> 2017-2020,imbalanced,4,GBM,E_unseen,P_unseen,0.7317380148303804,5351
B: 2011-2018 -> 2021-2023,imbalanced,0,LogReg,E_seen,P_seen,0.7336416755021407,5155
B: 2011-2018 -> 2021-2023,imbalanced,0,LogReg,E_unseen,P_seen,0.7383321382250013,11110
B: 2011-2018 -> 2021-2023,imbalanced,0,LogReg,E_seen,P_unseen,0.6828084887256564,9225
B: 2011-2018 -> 2021-2023,imbalanced,0,LogReg,E_unseen,P_unseen,0.6594217028128617,3954
B: 2011-2018 -> 2021-2023,imbalanced,0,RF,E_seen,P_seen,0.7825438193655249,5155
B: 2011-2018 -> 2021-2023,imbalanced,0,RF,E_unseen,P_seen,0.7443633072946715,11110
B: 2011-2018 -> 2021-2023,imbalanced,0,RF,E_seen,P_unseen,0.6936687670194932,9225
B: 2011-2018 -> 2021-2023,imbalanced,0,RF,E_unseen,P_unseen,0.6739323110844773,3954
B: 2011-2018 -> 2021-2023,imbalanced,0,GBM,E_seen,P_seen,0.7571619364255022,5155
B: 2011-2018 -> 2021-2023,imbalanced,0,GBM,E_unseen,P_seen,0.747813823919766,11110
B: 2011-2018 -> 2021-2023,imbalanced,0,GBM,E_seen,P_unseen,0.6995101383250366,9225
B: 2011-2018 -> 2021-2023,imbalanced,0,GBM,E_unseen,P_unseen,0.6779468660082433,3954
B: 2011-2018 -> 2021-2023,imbalanced,1,LogReg,E_seen,P_seen,0.7289371209256069,5182
B: 2011-2018 -> 2021-2023,imbalanced,1,LogReg,E_unseen,P_seen,0.7284126906311834,10978
B: 2011-2018 -> 2021-2023,imbalanced,1,LogReg,E_seen,P_unseen,0.6734492672944139,9227
B: 2011-2018 -> 2021-2023,imbalanced,1,LogReg,E_unseen,P_unseen,0.6787513507578691,3952
B: 2011-2018 -> 2021-2023,imbalanced,1,RF,E_seen,P_seen,0.7690708562703983,5182
B: 2011-2018 -> 2021-2023,imbalanced,1,RF,E_unseen,P_seen,0.7285945683689349,10978
B: 2011-2018 -> 2021-2023,imbalanced,1,RF,E_seen,P_unseen,0.6880302086199789,9227
B: 2011-2018 -> 2021-2023,imbalanced,1,RF,E_unseen,P_unseen,0.6772338790298813,3952
B: 2011-2018 -> 2021-2023,imbalanced,1,GBM,E_seen,P_seen,0.746117682901206,5182
B: 2011-2018 -> 2021-2023,imbalanced,1,GBM,E_unseen,P_seen,0.7379937031207523,10978
B: 2011-2018 -> 2021-2023,imbalanced,1,GBM,E_seen,P_unseen,0.6879757789115324,9227
B: 2011-2018 -> 2021-2023,imbalanced,1,GBM,E_unseen,P_unseen,0.6847498714251867,3952
B: 2011-2018 -> 2021-2023,imbalanced,2,LogReg,E_seen,P_seen,0.7359259976363544,5160
B: 2011-2018 -> 2021-2023,imbalanced,2,LogReg,E_unseen,P_seen,0.7273284253003933,11086
B: 2011-2018 -> 2021-2023,imbalanced,2,LogReg,E_seen,P_unseen,0.6674528925056307,9238
B: 2011-2018 -> 2021-2023,imbalanced,2,LogReg,E_unseen,P_unseen,0.6928868616356324,3941
B: 2011-2018 -> 2021-2023,imbalanced,2,RF,E_seen,P_seen,0.7782260554069751,5160
B: 2011-2018 -> 2021-2023,imbalanced,2,RF,E_unseen,P_seen,0.7320165291762799,11086
B: 2011-2018 -> 2021-2023,imbalanced,2,RF,E_seen,P_unseen,0.6805751237483991,9238
B: 2011-2018 -> 2021-2023,imbalanced,2,RF,E_unseen,P_unseen,0.6888559344065142,3941
B: 2011-2018 -> 2021-2023,imbalanced,2,GBM,E_seen,P_seen,0.7537419288601067,5160
B: 2011-2018 -> 2021-2023,imbalanced,2,GBM,E_unseen,P_seen,0.7414458329617174,11086
B: 2011-2018 -> 2021-2023,imbalanced,2,GBM,E_seen,P_unseen,0.6814206401462608,9238
B: 2011-2018 -> 2021-2023,imbalanced,2,GBM,E_unseen,P_unseen,0.7024545563465134,3941
B: 2011-2018 -> 2021-2023,imbalanced,3,LogReg,E_seen,P_seen,0.7350316675357567,5140
B: 2011-2018 -> 2021-2023,imbalanced,3,LogReg,E_unseen,P_seen,0.7365775644195575,11185
B: 2011-2018 -> 2021-2023,imbalanced,3,LogReg,E_seen,P_unseen,0.6692105520534753,9165
B: 2011-2018 -> 2021-2023,imbalanced,3,LogReg,E_unseen,P_unseen,0.6793025224873168,4014
B: 2011-2018 -> 2021-2023,imbalanced,3,RF,E_seen,P_seen,0.7813713485374963,5140
B: 2011-2018 -> 2021-2023,imbalanced,3,RF,E_unseen,P_seen,0.7411923868341883,11185
B: 2011-2018 -> 2021-2023,imbalanced,3,RF,E_seen,P_unseen,0.6955319608748524,9165
B: 2011-2018 -> 2021-2023,imbalanced,3,RF,E_unseen,P_unseen,0.6826347056451445,4014
B: 2011-2018 -> 2021-2023,imbalanced,3,GBM,E_seen,P_seen,0.7527020017390934,5140
B: 2011-2018 -> 2021-2023,imbalanced,3,GBM,E_unseen,P_seen,0.7508239592939816,11185
B: 2011-2018 -> 2021-2023,imbalanced,3,GBM,E_seen,P_unseen,0.6898521818864811,9165
B: 2011-2018 -> 2021-2023,imbalanced,3,GBM,E_unseen,P_unseen,0.6972889116152483,4014
B: 2011-2018 -> 2021-2023,imbalanced,4,LogReg,E_seen,P_seen,0.7472951961015933,5167
B: 2011-2018 -> 2021-2023,imbalanced,4,LogReg,E_unseen,P_seen,0.7285356878310021,11053
B: 2011-2018 -> 2021-2023,imbalanced,4,LogReg,E_seen,P_unseen,0.6767666704166982,9255
B: 2011-2018 -> 2021-2023,imbalanced,4,LogReg,E_unseen,P_unseen,0.6636002945411086,3924
B: 2011-2018 -> 2021-2023,imbalanced,4,RF,E_seen,P_seen,0.7876390364728729,5167
B: 2011-2018 -> 2021-2023,imbalanced,4,RF,E_unseen,P_seen,0.7326427097321085,11053
B: 2011-2018 -> 2021-2023,imbalanced,4,RF,E_seen,P_unseen,0.6926700661139295,9255
B: 2011-2018 -> 2021-2023,imbalanced,4,RF,E_unseen,P_unseen,0.6795762677971525,3924
B: 2011-2018 -> 2021-2023,imbalanced,4,GBM,E_seen,P_seen,0.7666354665590289,5167
B: 2011-2018 -> 2021-2023,imbalanced,4,GBM,E_unseen,P_seen,0.7418137237426372,11053
B: 2011-2018 -> 2021-2023,imbalanced,4,GBM,E_seen,P_unseen,0.692521538699018,9255
B: 2011-2018 -> 2021-2023,imbalanced,4,GBM,E_unseen,P_unseen,0.6785996593486219,3924
