spec,panel,outcome,seed,model,entity,period,auc,n
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,LogReg,E_seen,P_seen,0.6985180101171865,3768
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,LogReg,E_unseen,P_seen,0.7109448844966438,8129
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,LogReg,E_seen,P_unseen,0.692528163240698,12117
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,LogReg,E_unseen,P_unseen,0.676714687005444,5214
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,RF,E_seen,P_seen,0.8376684323836003,3768
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,RF,E_unseen,P_seen,0.773408569844147,8129
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,RF,E_seen,P_unseen,0.7757750026155065,12117
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,RF,E_unseen,P_unseen,0.7524381460667877,5214
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,GBM,E_seen,P_seen,0.8079533522223982,3768
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,GBM,E_unseen,P_seen,0.7816874829290096,8129
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,GBM,E_seen,P_unseen,0.7350465441920095,12117
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,0,GBM,E_unseen,P_unseen,0.7526481452204032,5214
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,LogReg,E_seen,P_seen,0.719827552420145,3785
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,LogReg,E_unseen,P_seen,0.7413167625420003,8043
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,LogReg,E_seen,P_unseen,0.6842698890112683,12123
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,LogReg,E_unseen,P_unseen,0.7317198978908714,5208
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,RF,E_seen,P_seen,0.8676435430139134,3785
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,RF,E_unseen,P_seen,0.7952963301136889,8043
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,RF,E_seen,P_unseen,0.770775703211048,12123
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,RF,E_unseen,P_unseen,0.7331147893615106,5208
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,GBM,E_seen,P_seen,0.83905839702136,3785
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,GBM,E_unseen,P_seen,0.8061129374520094,8043
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,GBM,E_seen,P_unseen,0.7233875921375922,12123
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,1,GBM,E_unseen,P_unseen,0.7354096108132073,5208
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,LogReg,E_seen,P_seen,0.7346541269468909,3763
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,LogReg,E_unseen,P_seen,0.6925209830232305,8155
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,LogReg,E_seen,P_unseen,0.6791764550763391,12094
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,LogReg,E_unseen,P_unseen,0.7246874833767755,5237
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,RF,E_seen,P_seen,0.8541777739864792,3763
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,RF,E_unseen,P_seen,0.7658976910002901,8155
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,RF,E_seen,P_unseen,0.7818509061574472,12094
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,RF,E_unseen,P_unseen,0.7595457205170488,5237
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,2,GBM,E_seen,P_seen,0.8374661448892112,3763
