year,seed,model,auc_transfer,auc_contemporaneous,n_score,n_contemp_fit
2019,0,LogReg,0.7216202603745026,0.7332044733573649,1344,3118
2019,0,RF,0.7276641975829524,0.7245051064940681,1344,3118
2019,0,GBM,0.7308628432347195,0.7308443844387076,1344,3118
2020,0,LogReg,0.7245012577854905,0.7359760280883005,1331,3104
2020,0,RF,0.731614135625597,0.7588852119402181,1331,3104
2020,0,GBM,0.7190631852240473,0.7485757429005745,1331,3104
2021,0,LogReg,0.616079933582883,0.7100485019735788,1322,3086
2021,0,RF,0.6491952750629943,0.7200809822742037,1322,3086
2021,0,GBM,0.638623883944827,0.7160216729539595,1322,3086
2022,0,LogReg,0.6527130681818181,0.7086766098484849,1318,3073
2022,0,RF,0.6840269886363637,0.7270170454545455,1318,3073
2022,0,GBM,0.6717223011363636,0.7264950284090909,1318,3073
2023,0,LogReg,0.7074516584203294,0.714372801013209,1314,3066
2023,0,RF,0.7000023648551,0.7293475890302255,1314,3066
2023,0,GBM,0.7100254090542418,0.7238598113896677,1314,3066
2019,1,LogReg,0.7225012261958075,0.7353123067408782,1330,3132
2019,1,RF,0.7353736165312519,0.7420057364638646,1330,3132
2019,1,GBM,0.7451032136992729,0.7483033181924807,1330,3132
2020,1,LogReg,0.7508622911349057,0.7660852158993423,1322,3113
2020,1,RF,0.7481756849786589,0.781915363080171,1322,3113
2020,1,GBM,0.7583466604532281,0.7766851304645604,1322,3113
2021,1,LogReg,0.6380328135814028,0.7390070744302719,1320,3088
2021,1,RF,0.6479664536090869,0.7354275818225661,1320,3088
2021,1,GBM,0.6448379206999897,0.7390102060948457,1320,3088
2022,1,LogReg,0.6753165159447883,0.7397739171822941,1314,3077
2022,1,RF,0.6787720133269871,0.7471465968586387,1314,3077
2022,1,GBM,0.6891837220371251,0.7398762494050453,1314,3077
2023,1,LogReg,0.7154466499636722,0.7311128176089896,1318,3062
2023,1,RF,0.7084293238389997,0.7620081860186112,1318,3062
2023,1,GBM,0.7232435353464837,0.7457706001442767,1318,3062
2019,2,LogReg,0.7160642125948989,0.7257556359881354,1325,3137
2019,2,RF,0.7275311237204107,0.7191357536866396,1325,3137
2019,2,GBM,0.7265683035925967,0.7375044123767828,1325,3137
2020,2,LogReg,0.7468154626214062,0.7737320567552258,1325,3110
2020,2,RF,0.747043422997748,0.7857345159641342,1325,3110
2020,2,GBM,0.74291768558047,0.7770202124867024,1325,3110
2021,2,LogReg,0.6786785473814916,0.7543437770529648,1318,3090
2021,2,RF,0.6750933463916263,0.7569292024822416,1318,3090
2021,2,GBM,0.6750802298026392,0.7412257306668766,1318,3090
2022,2,LogReg,0.6762363936694384,0.7117152094421935,1313,3078
2022,2,RF,0.6825660139392826,0.7296146225993326,1313,3078
2022,2,GBM,0.6950781908109914,0.7255615479098135,1313,3078
2023,2,LogReg,0.7226575447464368,0.7142960722572091,1310,3070
2023,2,RF,0.7095391738481935,0.7280152055021545,1310,3070
2023,2,GBM,0.7335295305767319,0.7305127713788533,1310,3070
2019,3,LogReg,0.7222341981676803,0.7348063746246823,1349,3113
2019,3,RF,0.7305976852208278,0.7413580722149511,1349,3113
2019,3,GBM,0.7379064336489849,0.7442015038365797,1349,3113
2020,3,LogReg,0.7348646084414585,0.7727447561413405,1350,3085
2020,3,RF,0.7447561413405815,0.7778700189753323,1350,3085
2020,3,GBM,0.7290021283142726,0.7828991230319504,1350,3085
2021,3,LogReg,0.6606767039015703,0.7492801637410671,1342,3066
2021,3,RF,0.6743796109993293,0.7393498924581976,1342,3066
2021,3,GBM,0.678308355882421,0.7379651472050694,1342,3066
2022,3,LogReg,0.6618102899736389,0.7367739296427598,1342,3049
2022,3,RF,0.6774611398963731,0.7299677302063448,1342,3049
2022,3,GBM,0.6849786383056086,0.7425188619216434,1342,3049
2023,3,LogReg,0.7124186007361325,0.7285415853630541,1330,3050
2023,3,RF,0.7053608094906505,0.7409992118332147,1330,3050
2023,3,GBM,0.7208269884631768,0.7316585426821648,1330,3050
2019,4,LogReg,0.7029795480499705,0.7067648757789603,1330,3132
2019,4,RF,0.7357537780072991,0.7177162388429995,1330,3132
2019,4,GBM,0.72758550927565,0.7247105768232529,1330,3132
2020,4,LogReg,0.7426635069764843,0.7444530660179515,1321,3114
2020,4,RF,0.7432122584794341,0.7667945921762715,1321,3114
2020,4,GBM,0.749019587282946,0.770387691189218,1321,3114
2021,4,LogReg,0.6401298926435444,0.7355000681038647,1305,3103
2021,4,RF,0.6728661820973514,0.7458023254374125,1305,3103
2021,4,GBM,0.6616135662898253,0.7341906165257124,1305,3103
2022,4,LogReg,0.6532762015389917,0.7012317235695161,1308,3083
2022,4,RF,0.6802892899575126,0.7185809272027512,1308,3083
2022,4,GBM,0.6740342742567124,0.7228923211880072,1308,3083
2023,4,LogReg,0.7020131211404476,0.7098231963783083,1311,3069
2023,4,RF,0.6964398471697508,0.7453899418859766,1311,3069
2023,4,GBM,0.7111890899750635,0.7387812108693558,1311,3069
