cutoff,test_year,elapsed,n_test,mape_xgb,delta_pp_xgb,r2_xgb,mape_lin,delta_pp_lin,baseline_mape_xgb,baseline_mape_lin
2016,2017,1,8760,0.6405,0.1359,0.9954,2.2472,0.0604,0.5045,2.1868
2016,2018,2,8760,1.0281,0.5235,0.9813,2.2244,0.0376,0.5045,2.1868
2016,2019,3,8760,0.8463,0.3418,0.9914,2.2373,0.0505,0.5045,2.1868
2016,2020,4,8784,1.0289,0.5244,0.9886,2.2911,0.1043,0.5045,2.1868
2016,2021,5,8760,1.3114,0.8068,0.9774,2.332,0.1452,0.5045,2.1868
2016,2022,6,8760,1.6408,1.1363,0.9668,2.4117,0.2249,0.5045,2.1868
2016,2023,7,8760,1.5954,1.0909,0.9713,2.4394,0.2526,0.5045,2.1868
2016,2024,8,8784,1.8385,1.334,0.9594,2.5663,0.3795,0.5045,2.1868
2016,2025,9,8760,2.0298,1.5253,0.9549,2.7045,0.5177,0.5045,2.1868
2018,2019,1,8760,0.6687,0.1613,0.9952,2.2311,0.0189,0.5075,2.2121
2018,2020,2,8784,0.8896,0.3822,0.9923,2.2885,0.0763,0.5075,2.2121
2018,2021,3,8760,1.0331,0.5256,0.9898,2.3273,0.1152,0.5075,2.2121
2018,2022,4,8760,1.1954,0.6879,0.9866,2.4035,0.1914,0.5075,2.2121
2018,2023,5,8760,1.2915,0.784,0.9846,2.4323,0.2201,0.5075,2.2121
2018,2024,6,8784,1.4298,0.9223,0.9827,2.5606,0.3485,0.5075,2.2121
2018,2025,7,8760,1.6389,1.1315,0.978,2.6971,0.4849,0.5075,2.2121
2020,2021,1,8760,0.916,0.3513,0.9918,2.3234,0.0995,0.5647,2.2239
2020,2022,2,8760,1.0912,0.5264,0.9884,2.3997,0.1757,0.5647,2.2239
2020,2023,3,8760,1.1824,0.6176,0.9868,2.4301,0.2061,0.5647,2.2239
2020,2024,4,8784,1.3151,0.7503,0.9849,2.5566,0.3326,0.5647,2.2239
2020,2025,5,8760,1.5204,0.9557,0.9806,2.6962,0.4723,0.5647,2.2239
