cutoff,test_year,elapsed,delta_pp
2016,2017,1,0.8059021049100283
2016,2018,2,1.464958666853763
2016,2019,3,0.8795524050652417
2016,2020,4,1.5926329633078589
2016,2021,5,1.866504753617225
2016,2022,6,2.478037006472382
2016,2023,7,2.8246614573634488
2016,2024,8,3.632756123684571
2016,2025,9,4.57445440361691
2018,2019,1,0.36291463773413835
2018,2020,2,1.1810503349419745
2018,2021,3,1.2828705521109258
2018,2022,4,1.8195391569593138
2018,2023,5,2.1394519552573863
2018,2024,6,2.989551949539507
2018,2025,7,3.885480289191607
2020,2021,1,0.9522570682226954
2020,2022,2,1.4920983449170961
2020,2023,3,1.747672939364481
2020,2024,4,2.5647550516204243
2020,2025,5,3.4324798793381506
