panel,cutoff,seed,model,year,elapsed,auc,baseline,delta,n,n_baseline
imbalanced,2018,0,LogReg,2019,1,0.7216202603745026,0.7382989505599692,-0.016678690185466638,1344,11110
imbalanced,2018,0,LogReg,2020,2,0.7245012577854905,0.7382989505599692,-0.013797692774478731,1331,11110
imbalanced,2018,0,LogReg,2021,3,0.616079933582883,0.7382989505599692,-0.12221901697708615,1322,11110
imbalanced,2018,0,LogReg,2022,4,0.6527130681818181,0.7382989505599692,-0.08558588237815112,1318,11110
imbalanced,2018,0,LogReg,2023,5,0.7074516584203294,0.7382989505599692,-0.03084729213963977,1314,11110
imbalanced,2018,0,RF,2019,1,0.7276641975829524,0.7424023278334186,-0.01473813025046622,1344,11110
imbalanced,2018,0,RF,2020,2,0.731614135625597,0.7424023278334186,-0.010788192207821679,1331,11110
imbalanced,2018,0,RF,2021,3,0.6491952750629943,0.7424023278334186,-0.09320705277042429,1322,11110
imbalanced,2018,0,RF,2022,4,0.6840269886363637,0.7424023278334186,-0.058375339197054954,1318,11110
imbalanced,2018,0,RF,2023,5,0.7000023648551,0.7424023278334186,-0.042399962978318606,1314,11110
imbalanced,2018,0,GBM,2019,1,0.7308628432347195,0.7466500657863339,-0.015787222551614355,1344,11110
imbalanced,2018,0,GBM,2020,2,0.7190631852240473,0.7466500657863339,-0.02758688056228653,1331,11110
imbalanced,2018,0,GBM,2021,3,0.638623883944827,0.7466500657863339,-0.10802618184150681,1322,11110
imbalanced,2018,0,GBM,2022,4,0.6717223011363636,0.7466500657863339,-0.07492776464997031,1318,11110
imbalanced,2018,0,GBM,2023,5,0.7100254090542418,0.7466500657863339,-0.03662465673209203,1314,11110
imbalanced,2018,1,LogReg,2019,1,0.7225012261958075,0.7284192580091395,-0.005918031813332059,1330,10978
imbalanced,2018,1,LogReg,2020,2,0.7508622911349057,0.7284192580091395,0.02244303312576612,1322,10978
imbalanced,2018,1,LogReg,2021,3,0.6380328135814028,0.7284192580091395,-0.09038644442773669,1320,10978
