panel,cutoff,year,elapsed,auc,auc_sd,baseline,delta,p
imbalanced,2018,2019,1,0.7273564099931217,0.009961001179687302,0.7366791221291021,-0.009322712135980312,0.0014978991934389873
imbalanced,2018,2020,2,0.7408572011491151,0.01079873850223399,0.7366791221291021,0.004178079020013207,0.32662184377035663
imbalanced,2018,2021,3,0.6567708477247322,0.019110570114734163,0.7366791221291021,-0.07990827440436986,3.469692895154493e-10
imbalanced,2018,2022,4,0.675831002774133,0.012060630806236752,0.7366791221291021,-0.060848119354969005,1.6873615967858827e-11
imbalanced,2018,2023,5,0.7119049098416941,0.009882464065589971,0.7366791221291021,-0.02477421228740798,3.279347838468147e-07
imbalanced,2016,2017,1,0.7385944440922116,0.007424851240301447,0.7387778809742271,-0.00018343688201548266,0.911188192981828
imbalanced,2016,2018,2,0.7257088689213995,0.012018596779900517,0.7387778809742271,-0.013069012052827688,0.0014210880970588222
imbalanced,2016,2019,3,0.7259014259513522,0.009410259774612276,0.7387778809742271,-0.01287645502287509,0.0001009789124693019
imbalanced,2016,2020,4,0.73942217530351,0.011757966678887413,0.7387778809742271,0.0006442943292827907,0.8864620456082555
imbalanced,2016,2021,5,0.6511283324044014,0.01836489761414794,0.7387778809742271,-0.08764954856982579,8.128722879596305e-11
imbalanced,2016,2022,6,0.6733032044686937,0.013295811441531294,0.7387778809742271,-0.06547467650553349,4.370894723888335e-11
imbalanced,2016,2023,7,0.7108716612623515,0.010155786317755057,0.7387778809742271,-0.027906219711875582,5.016297314689378e-07
balanced,2018,2019,1,0.7272205769722105,0.01355294831572693,0.7240721891244348,0.0031483878477756616,0.18555772131170317
balanced,2018,2020,2,0.738100081418971,0.024612360379795806,0.7240721891244348,0.014027892294536064,0.02192978044188451
balanced,2018,2021,3,0.6442339447112263,0.013062009090333395,0.7240721891244348,-0.07983824441320862,4.1422781901256915e-13
balanced,2018,2022,4,0.6614932846114548,0.01697703198726431,0.7240721891244348,-0.06257890451298008,2.863411559912246e-09
balanced,2018,2023,5,0.7029498629361347,0.010719958828665619,0.7240721891244348,-0.02112232618830011,2.5422333834404254e-06
balanced,2016,2017,1,0.7445740861407946,0.016448781422394292,0.7219400476280996,0.022634038512694944,0.00010448871556994377
balanced,2016,2018,2,0.7229502871335588,0.011012946952643446,0.7219400476280996,0.0010102395054590947,0.7470624022263722
balanced,2016,2019,3,0.7243148399739249,0.013107381550039269,0.7219400476280996,0.0023747923458251386,0.34348809631678456
balanced,2016,2020,4,0.7370180827191443,0.026053755751976358,0.7219400476280996,0.015078035091044498,0.01729759820625787
balanced,2016,2021,5,0.6427648910976506,0.012300994862037801,0.7219400476280996,-0.07917515653044921,1.3435935225988656e-13
balanced,2016,2022,6,0.6591646535213244,0.01738959281529141,0.7219400476280996,-0.06277539410677549,3.0331190701466436e-09
balanced,2016,2023,7,0.7015376656614604,0.012999203065296278,0.7219400476280996,-0.02040238196663929,2.987803535649213e-05
